index,ID_Cliente,Nombre,Edad,Genero,Saldo_Cuenta,Fecha_Registro,Email
79,ID-079,Juan Pérez,150.0,?,46959.9324484593,2023-01-15,user@test.com
80,ID-080,ana garcía,NaN,femenino,8020.410941292104,2024/02/20,
81,ID-081,,28.0,Fem,35922.00072694835,Invalid_Date,error_at_domain
82,ID-082,Juan Pérez,-5.0,Fem,10489.049391502092,2023-01-15,no-reply@uan.edu.co
83,ID-083,C. Sánchez,28.0,Masculino,25043.70448213572,2024/02/20,no-reply@uan.edu.co
84,ID-084,María López,35.0,Masc,49541.22190514831,2021.12.01,no-reply@uan.edu.co
85,ID-085,María López,29.0,femenino,43857.72166987693,2021.12.01,
86,ID-086,Sofía R.,15.0,Masculino,29266.319243183632,Invalid_Date,user@test.com
87,ID-087,C. Sánchez,15.0,Fem,34943.90528158822,2024/02/20,user@test.com
88,ID-088,,-5.0,femenino,16896.730764393884,2021.12.01,error_at_domain
89,ID-089,,150.0,Masculino,828.4594539119071,2023-01-15,
90,ID-090,ana garcía,28.0,M,14661.453749578272,2021.12.01,user@test.com
91,ID-091,,42.0,Masculino,47115.873493937426,2021.12.01,no-reply@uan.edu.co
92,ID-092,ana garcía,29.0,?,41492.51224525419,Invalid_Date,user@test.com
93,ID-093,ana garcía,15.0,Masc,-909.1403650305961,2023-01-15,error_at_domain
94,ID-094,Luis M.,150.0,M,38811.32190651021,2024/02/20,
95,ID-095,María López,15.0,?,34306.509483412905,2023-01-15,no-reply@uan.edu.co
96,ID-096,Sofía R.,15.0,?,46836.16135045731,2021.12.01,no-reply@uan.edu.co
97,ID-097,Sofía R.,28.0,Masculino,34627.051189217855,Invalid_Date,
98,ID-098,,35.0,Masculino,40676.99365996141,2021.12.01,error_at_domain
99,ID-099,,150.0,?,37020.404739757716,Invalid_Date,error_at_domain
100,ID-005,Sofía R.,150.0,Masculino,22768.934134353785,Invalid_Date,no-reply@uan.edu.co
101,ID-010,Juan Pérez,29.0,Fem,47813.16240286081,15/05/2022,error_at_domain
102,ID-015,María López,29.0,Masculino,13974.746862827027,Invalid_Date,no-reply@uan.edu.co
